791,37
776,38
761,39
746,40
732,42
717,43
702,45
687,46
673,47
658,48
643,50
628,51
614,52
598,52
583,52
568,52
552,52
537,52
522,53
507,54
493,55
477,55
462,55
447,55
432,55
417,54
401,53
387,53
371,53
356,52
342,53
327,51
312,50
297,50
282,50
267,50
252,49
236,49
221,49
206,49
191,47
177,46
161,46
147,44
132,45
117,46
104,50
90,55
78,64
67,71
54,78
45,90
39,102
32,115
26,127
19,140
15,153
13,168
14,183
14,198
14,213
16,228
14,242
14,257
14,273
15,287
15,303
15,318
15,333
15,348
15,364
15,379
15,394
15,409
15,425
16,440
16,455
19,469
21,484
27,496
36,508
47,519
59,527
72,531
86,536
99,539
114,541
129,541
143,539
157,535
170,529
182,522
194,515
205,505
213,494
219,481
223,467
223,452
223,437
223,422
223,406
224,391
225,377
226,362
228,347
234,334
240,322
252,314
266,315
278,323
284,335
286,349
285,364
284,379
283,394
282,408
282,424
283,439
283,454
284,469
284,484
286,498
289,512
295,526
306,533
318,540
331,546
345,549
358,553
373,555
388,555
403,556
418,556
433,557
448,557
463,557
479,557
494,557
509,557
524,557
539,558
555,558
569,559
585,559
600,559
615,559
630,559
645,560
661,560
675,561
691,561
706,560
721,560
736,560
751,560
766,559
781,558
796,558
811,557
826,556
841,555
855,553
870,551
884,549
898,546
912,541
924,536
936,527
948,521
959,511
967,499
970,485
971,470
972,455
972,440
971,425
971,410
971,394
973,380
970,365
965,353
954,342
943,334
930,328
917,323
903,318
888,317
873,317
858,317
843,317
827,317
812,317
797,317
782,317
766,317
752,318
737,319
721,319
706,319
691,318
676,318
661,318
646,317
632,314
621,304
616,291
618,276
630,271
644,266
658,265
673,267
687,268
702,269
717,269
732,269
748,269
763,269
778,269
793,269
809,269
824,268
839,268
853,265
868,266
883,266
898,264
912,262
924,255
932,242
939,230
945,218
951,205
954,190
956,176
957,162
956,147
953,133
948,120
941,107
933,95
924,84
913,73
901,64
889,57
876,51
863,45
849,42
835,39
821,37
806,37
