0,0
0,13
0,26
0,38
0,51
0,64
0,76
0,89
0,101
0,114
0,127
0,139
0,152
0,165
0,177
0,190
0,202
0,215
0,228
0,240
0,253
0,266
0,278
0,291
0,303
0,316
0,329
0,341
0,354
0,367
0,379
0,392
0,404
0,417
0,430
0,442
0,455
0,468
0,480
0,493
0,505
0,518
0,531
0,543
0,556
0,569
0,581
0,594
7,599
20,599
33,599
45,599
58,599
71,599
83,599
96,599
108,599
121,599
134,599
146,599
159,599
172,599
184,599
197,599
209,599
222,599
235,599
247,599
260,599
273,599
285,599
298,599
310,599
323,599
336,599
348,599
361,599
374,599
386,599
399,599
411,599
424,599
437,599
449,599
462,599
475,599
487,599
500,599
512,599
525,599
538,599
550,599
563,599
576,599
588,599
601,599
613,599
626,599
639,599
651,599
664,599
677,599
689,599
702,599
714,599
727,599
740,599
752,599
765,599
778,599
790,599
803,599
815,599
828,599
841,599
853,599
866,599
879,599
891,599
904,599
916,599
929,599
942,599
954,599
967,599
979,598
979,586
979,573
979,561
979,548
979,535
979,523
979,510
979,498
979,485
979,472
979,460
979,447
979,434
979,422
979,409
979,397
979,384
979,371
979,359
979,346
979,333
979,321
979,308
979,296
979,283
979,270
979,258
979,245
979,232
979,220
979,207
979,195
979,182
979,169
979,157
979,144
979,131
979,119
979,106
979,94
979,81
979,68
979,56
979,43
979,30
979,18
979,5
972,0
959,0
946,0
934,0
921,0
908,0
896,0
883,0
871,0
858,0
845,0
833,0
820,0
807,0
795,0
782,0
770,0
757,0
744,0
732,0
719,0
706,0
694,0
681,0
669,0
656,0
643,0
631,0
618,0
605,0
593,0
580,0
568,0
555,0
542,0
530,0
517,0
504,0
492,0
479,0
467,0
454,0
441,0
429,0
416,0
403,0
391,0
378,0
366,0
353,0
340,0
328,0
315,0
302,0
290,0
277,0
265,0
252,0
239,0
227,0
214,0
201,0
189,0
176,0
164,0
151,0
138,0
126,0
113,0
100,0
88,0
75,0
63,0
50,0
37,0
25,0
12,0
